,Title,Author,Pages,Edition,Cover,Format,Harakat,Checking and preparation,Preface,Volumes,Annotations,lien
89,أسطر من النقل والعقل والفكر,الشيخ عبد العزيز الطريفي,464,مكتبة دار المنهاج,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الآداب-الزهد-العلم-الأذكار-الآخرة/ustur-min-an-naql-wa-al-aql-wa-al-fikr-abdul-aziz-at-tarifi.html
90,النظرات,مصطفى لطفي المنفلوطي,790,دار ابن حزم,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأدب-العربي/an-nadharat-by-mustafa-lutfi-al-manfaluti.html
91,الطب الملوكي,أبو بكر الرازي,400,دار المنهاج,مجلد,17x24cm,None or a little bit (or only on the Matn),الدكتور محمد ياسر زكور,,,الدكتور محمد ياسر زكور,https://www.sifatusafwa.com/ar/الأدب-العربي/at-tib-al-muluki-abi-bakr-ar-razi-rhazes.html
92,نظرية الفستق (كتاب سيغير طريقة تفكيرك وحكمك على الأشياء),فهد عامر الأحمدي‎,332,دار الحضارة,مجلد,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأدب-العربي/pistachio-theory-fahd-amir-al-ahmadi-personal-development.html
93,شرح المعلقات العشر,الخطيب التبريزي,408,دار السلام,مجلد,17x24cm,In Part,فخر الدين قباوة,,,,https://www.sifatusafwa.com/ar/الأدب-العربي/sharh-al-muallaqaat-al-ashr--al-khatib-at-tabrizi.html
94,طرائف ومسامرات,محمد رجب البيومي,607,دار القلم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأدب-العربي/tara-if-wa-musamarat-muhammad-al-bayyumi.html
95,البندول رحلة التعافي من الوسواس القهري,د. محمد الشامي,178,دار الحضارة,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأدب-العربي/the-pendulum-a-recovery-journey-from-obsessive-compulsive-disorder.html
96,آداب الدعاء,الشيخ عبد الله بن عبد الرحمن السعد,208,دار المحدث,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/adab-ad-du-a-abdullah-as-sa-d.html
97,الكلم الطيب والقول المختار في المأثور من الدعوات والأذكار,الإمام السيوطي,196,دار ابن حزم,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/al-kalim-at-tayyib-wal-qawl-al-mukhtar-collection-of-dhikr-of-suyuti.html
98,إجابة الدعاء,د. علي العمران,58,دار الحضارة,غلاف,14x20cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/ijabah-ad-du-a-dr-ali-al-imran.html
99,مختصر كتاب الذكر والدعاء,الشيخ عبد الله العبيلان,232,دار اللؤلؤة,,14x20cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/mukhtasar-kitab-al-dhikr-wal-du-ah-shaykh-al-ubaylan.html#/28-edition-soft_cover
100,صحيح الأذكار والرقية الشرعية مما صححه الإمامان الألباني ومقبل الوادعي,أم عبدالله بنت عبدالله بن سعيد باحشوان,127,دار الأثار,غلاف,8x12cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/sahih-al-adhkar-wa-ar-ruqiyah-based-on-al-albani-and-muqbil-books.html
101,شرح حديث سيد الاستغفار,الشيخ عبد الرزاق بن عبد المحسن البدر,37,دار الأثرية,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/sharh-hadith-sayyid-al-istighfar-shaykh-abdurrazzaq-al-badr.html
102,الرقية الشرعية بين باعة الأوهام وأصلها الشرعي,أحمد بن ناصر الطيار,112,مكتبة دار الحجاز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأذكار-و-الأدعية/the-ruqiyyah-shar-iyyah-dr-ahmad-at-tayyar.html
103,رياض الصالحين لأطفال المسلمين,عوض بن لطفي الجزار,80,دار ابن رجب,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأسرة-النساء-الأولاد/riyad-as-salihin-lil-atfal-al-muslimin-harakat.html
104,تحصين الأطفال بالأدعية والأذكار,عوض بن لطفي الجزار,80,دار ابن رجب,غلاف,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/الأسرة-النساء-الأولاد/tahsin-al-atfal-bi-al-ad-iyah-wa-al-adhkar-harakat.html
105,طوق الحمامة في الألفة والألاف,الإمام ابن حزم,432,دار ابن كثير,مجلد,17x24cm,In Part,,,,,https://www.sifatusafwa.com/ar/الأسرة-النساء-الأولاد/tawq-al-hamamah-fil-ulfah-wal-ullaaf-by-imam-ibn-hazm.html
106,إجماعات المذاهب الأربعة على فريضة الحجاب,تركي بن عمر بالحمر,299,,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأسرة-النساء-الأولاد/the-consensus-of-the-4-schools-on-the-obligation-of-the-hijab.html
107,المجلى في شرح القواعد المثلى,د. كاملة الكواري,,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,د. عبد الرحمن بن صالح المحمود,,,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/al-mujalla-fi-sharh-al-qawa-id-al-muthla-lil-uthaymin-kamila-al-kawari.html
108,المختصر الأسنى في أسماء الله الحسنى,محمد بن حامد آل عثمان الغامدي,229,دار طيبة الخضراء,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/al-mukhtasar-al-asna-fi-asmaa-allah-al-husna.html
109,التفويض في الصفات الإلهية بين أقوال السلف ودعاوى الخلف,الشيخ محمد الرباح,693,دار الإمام مسلم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/at-tafwid-fi-as-sifat-al-ilahiyyah-muhammad-ar-rabah.html
110,مذهب أهل التفويض في نصوص الصفات,أحمد بن عبد الرحمن القاضي,623,دار العاصمة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/madhhab-ahl-at-tafwid-fi-nusus-as-sifat-ahmad-al-qadi.html
111,مختصر الصواعق المرسلة على الجهمية والمعطلة لابن القيم,محمد بن الموصلي,1937,دار أضواء السلف,مجلد,17x24cm,None or a little bit (or only on the Matn),الحسن بن عبد الرحمن العلوي,,4,الحسن بن عبد الرحمن العلوي,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/mukhtasar-sawa-iq-al-mursala-ala-al-jahmiya-wa-al-mu-attilah-ibn-al-qayyim.html
112,دراسات الصفات الإلهية في الأروقة الحنبلية,علاء حسن إسماعيل,368,تبصرة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأسماء-و-الصفات/study-of-the-attributes-of-allah-in-the-hanbali-works.html
113,الذخائر لشرح منظومة الكبائر,الإمام السفاريني,598,دار البشائر الإسلامية,مجلد,17x24cm,None or a little bit (or only on the Matn),وليد بن محمد بن عبد الله العلي,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/ad-dakhaair-li-sharh-mandhumah-al-kabaair-imam-safarini.html
114,عقيدة أهل الإسلام فيما يجب للإمام,الشيخ عبد السلام بن برجس آل عبد الكريم,56,دار الإمام أحمد,غلاف,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/aqidah-ahl-al-islam-fima-yajibu-li-al-imam-abdussalam-ibn-barjis.html
115,كتاب الكبائر,الإمام محمد بن عبد الوهاب,159,الميراث النبوي,مجلد,17x24cm,None or a little bit (or only on the Matn),محمد بن عوض المصري,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/kitab-al-kaba-ir-written-by-muhammad-ibn-abdelwahhab.html
116,كتاب السماع,ابن طاهر القيسراني,254,دار اللؤلؤة المصرية,مجلد,17x24cm,None or a little bit (or only on the Matn),وليد بن أنيس الجابوصي,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/kitab-as-sama-by-ibn-tahir-al-qaysarani-507h.html
117,تذكرة أولي البصائر في معرفة الكبائر,الإمام أبو الفرج ابن الجوزي,400,دار ابن كثير,مجلد,17x24cm,None or a little bit (or only on the Matn),طالب عواد,عبد القادر الأرناؤوط,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/tadhkirah-uli-al-basaair-fi-ma-rifah-al-kabaair-ibn-al-jawzi.html
118,ذم الملاهي,الإمام ابن أبي الدنيا,317,دار اللؤلؤة المصرية,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/the-criticism-of-entertainment-ibn-abi-dunia-al-ajurri.html
119,القول المبين في حكم الاستهزاء بالمؤمنين,الشيخ عبد السلام بن برجس آل عبد الكريم,56,دار الإمام أحمد,غلاف,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/the-judgment-of-mocking-believers-abdussalam-ibn-barjis.html
120,الاستهزاء بالدين,الشيخ صالح الفوزان,32,دار الإمام أحمد,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الأعمال-المنكرة/the-mockery-of-religion-sheikh-salih-al-fawzan.html
121,الشامل في قواعد الكتابة والإملاء,الشيخ حسين والي,208,دار الفضيلة القاهرة,مجلد,17x24cm,None or a little bit (or only on the Matn),د. أحمد سيد حامد آل برجل,,,,https://www.sifatusafwa.com/ar/الإملاء/ash-shamil-fi-qawa-id-al-kitabah-wa-al-imlae.html
122,الإيمان بالقضاء والقدر,محمد بن إبراهيم الحمد,386,دار الحضارة,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/al-iman-bi-al-qada-wa-al-qadar-muhammad-ibrahim-al-hamad.html
123,الوجيز في الإيمان عند أهل السنة والجماعة,عبد الله بن عبد الحميد الأثري,363,,غلاف,17x24cm,In Part,,الشيخ عبد الله بن عقيل والشيخ عبد العزيز الراجحي والشيخ عبد الله السعد والشيخ عبد الرحمن المحمود و الشيخ عبد العزيز العبد اللطيف,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/al-wajiz-fi-al-iman-inda-ahl-as-sunnah-prefaced-by-ibn-aqil-ar-rajihi.html
124,أرواح الأشباح في الكلام على الأرواح,العلامة مرعي بن يوسف الكرمي,126,أورقة,مجلد,17x24cm,None or a little bit (or only on the Matn),علي الحبشان,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/arwah-al-ashbah-fi-kalam-ala-al-arwah-allamah-mar-i-al-karmi.html
125,محاضرة في أصول الإيمان ويليها أهمية التمسك بعرى الإسلام,الشيخ عبد العزيز بن باز,80,دار الإمام أحمد,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/conference-on-the-foundations-of-the-faith-ibn-baz.html
126,المقالة المفيدة شرح حديث جامع في العقيدة,الشيخ عبد الرزاق بن عبد المحسن البدر,64,دار النصيحة,غلاف,12x17cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/explanation-of-a-complete-hadith-in-the-aqidah-abderrazaq-al-badr.html
127,الملائكة الكرام بين أهل السنة والمخالفين,فهد محمد الساعدي,480,دار الناشر المتميز,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/the-noble-angles-between-the-people-of-sunnah-and-the-misguided.html
128,أصول الإيمان في ضوء الكتاب والسنة,نخبة من العلماء,308,,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/الإيمان-أركانه-و-شعبه/usul-al-iman-fi-daw-al-kitab-wa-as-sunnah-group-of-scholar.html
129,٢٠٠ سؤال وجواب في علوم البلاغة,علي صقر الأزهري,208,إبداع - دار ابن الجوزي القاهرة,غلاف,8x12cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/البلاغة-و-المنطق/200-q-a-in-the-sciences-of-balaghah.html
130,أدب الكاتب,الإمام ابن قتيبة,720,مؤسسة الرسالة,مجلد,17x24cm,In Part,علي محمد زينو,,,,https://www.sifatusafwa.com/ar/البلاغة-و-المنطق/adab-al-kaatib-of-imam-ibn-qutaybah.html
131,البلاغة الميسرة,د. عبد العزيز بن علي الحربي,96,دار ابن حزم,مجلد,17x24cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/البلاغة-و-المنطق/al-balaghah-al-muyassirah-the-eloquence-simplified-abdulaziz-al-harbi.html
132,مغني الطلاب شرح إيساغوجي في المنطق للعلامة الإبهريالإبهري,الشيخ محمود بن حاقظ المغنيسي,328,دار نور الصباح,مجلد,17x24cm,In Majority or Totality,أبو جعفر الظاهري,,,سيف الغلاب شرح مغني الطلاب للحاج محمد فوزي الأدرني,https://www.sifatusafwa.com/ar/البلاغة-و-المنطق/mughni-at-tullab-sharh-isaghuji-fi-al-mantiq-al-maghnissi.html
133,سحر البيان في البلاغة العربية,أ. أحمد سالم الغوج,192,دار الفتح,مجلد,17x24cm,In Majority or Totality,,,,,https://www.sifatusafwa.com/ar/البلاغة-و-المنطق/sihr-al-bayan-fi-al-balaghah-al-arabiyah.html
134,أخلاق الأنبياء عليهم السلام‎,د. محمد عبد الله الدويش‎,351,دار الحضارة,مجلد,14x20cm,None or a little bit (or only on the Matn),,,,,https://www.sifatusafwa.com/ar/التاريخ-الإسلامي/akhlaq-al-anbiya-by-muhammad-abdullah-ad-duwaish.html
135,الإشارة إلى وفيات الأعيان (المنتقى من تاريخ الإسلام),الإمام الذهبي,504,دار ابن الأثير,مجلد,17x24cm,In Majority or Totality,إبراهيم صالح,,,,https://www.sifatusafwa.com/ar/التاريخ-الإسلامي/al-isharah-ila-wafayat-muntaqa-min-tarikh-al-islam-imam-al-dhahabi.html
